,location
0,BONNYVILLE
1,DRAYTON VALLEY
2,GRANDE PRAIRIE
3,HIGH LEVEL
4,MEDICINE HAT
5,MIDNAPORE
6,RED DEER
7,ST. ALBERT
8,WAINWRIGHT
